Province,Vegetation_Type,Fire_Seasonality,Land_Use,Temperature,Oxygen,Humidity,Drought_Index
British Columbia,Forest,Fall,Industrial,14.12520103,20.8019594,63.27400336,323.912112
Prince Edward Island,Grassland,Summer,Commercial,12.94,19.81335553,47.11132748,343.9319148
Saskatchewan,Shrubland,Winter,Commercial,33.87844535,20.41908146,56.07,369.2491507
Saskatchewan,Shrubland,Winter,Agricultural,2.822907083,20.21922903,25.65522238,784.6130123
Newfoundland and Labrador,Wetland,Summer,Agricultural,-2.790863732,19.99,12.80933717,384.7939622
Manitoba,Wetland,Spring,Residential,29.05909535,19.99,33.95756648,592.6155054
British Columbia,Grassland,Summer,Industrial,4.46444229,19.99,14.75605993,182.1911221
Saskatchewan,Forest,Summer,Residential,9.194824651,19.18806121,65.13505007,377.7336045
Newfoundland and Labrador,Forest,Spring,Residential,5.668311162,20.96019897,14.4505089,577.3677101
Saskatchewan,Forest,Spring,Industrial,11.67937729,20.68581589,30.7633972,89.28858751
Saskatchewan,Grassland,Summer,Agricultural,26.73820265,20.68508954,76.18881737,394.28
Manitoba,Grassland,Spring,Commercial,24.21721829,19.15218846,28.06532275,394.28
Manitoba,Shrubland,Fall,Industrial,12.94,20.22458696,88.17339507,577.6167347
Quebec,Grassland,Fall,Agricultural,16.30828329,20.0200598,56.07,394.28
Ontario,Shrubland,Winter,Agricultural,5.79189186,20.60441024,52.0664987,19.55128315
Ontario,Forest,Summer,Agricultural,0.113363135,19.482162,25.01448725,218.4306525
Saskatchewan,Wetland,Spring,Residential,-1.513248711,20.43762406,87.82473924,732.3789583
Prince Edward Island,Forest,Summer,Industrial,-4.6650289,19.71984396,56.07,66.53293412
Nova Scotia,Wetland,Summer,Agricultural,21.92967037,19.99,13.69791344,345.808055
New Brunswick,Shrubland,Summer,Commercial,32.19140069,20.36524668,63.98273309,237.6057957
New Brunswick,Grassland,Winter,Agricultural,12.94,19.04295264,17.2104818,142.2014264
Quebec,Wetland,Spring,Residential,18.11996797,19.97064994,71.98076828,106.5271786
British Columbia,Shrubland,Summer,Commercial,12.94,19.85016907,29.08736939,18.93813021
Alberta,Shrubland,Spring,Agricultural,29.64830354,19.37033883,47.08159845,644.3286964
Manitoba,Shrubland,Summer,Industrial,14.22621551,19.99,56.09071437,394.28
Manitoba,Forest,Fall,Industrial,3.172796509,20.32806801,45.99327666,532.0076581
Prince Edward Island,Shrubland,Fall,Agricultural,-9.381562927,19.84713644,46.98289836,331.2017593
Newfoundland and Labrador,Forest,Fall,Industrial,16.41992302,19.46300077,44.91740566,394.28
Alberta,Grassland,Winter,Residential,23.57025165,20.08604948,56.07,88.38811108
New Brunswick,Grassland,Fall,Agricultural,10.59276053,20.77969335,87.67112463,600.6852532
Saskatchewan,Grassland,Fall,Residential,-5.471777214,19.73463127,94.8087951,204.1972706
Prince Edward Island,Grassland,Summer,Agricultural,4.037646755,19.82358608,34.02051063,266.5332012
Prince Edward Island,Grassland,Fall,Agricultural,9.792109845,20.19425302,62.07844955,692.6215304
New Brunswick,Forest,Spring,Agricultural,17.1320448,19.78283936,37.53537522,235.6524394
Alberta,Grassland,Winter,Industrial,25.88506344,20.89467997,65.88141244,700.5146524
Manitoba,Grassland,Summer,Commercial,26.20361864,19.93233225,13.62808611,498.0950761
Saskatchewan,Wetland,Spring,Commercial,3.210376852,19.30226434,89.01348952,585.2413337
Nova Scotia,Grassland,Summer,Residential,8.707701907,19.83160704,28.58312728,753.0779547
Ontario,Forest,Winter,Commercial,34.26288668,20.28064246,50.51351637,72.52510562
Saskatchewan,Wetland,Fall,Agricultural,-5.29348721,19.14567366,99.62203024,393.5091076
Alberta,Forest,Fall,Agricultural,12.94,19.65345492,68.46355208,138.3630583
Saskatchewan,Wetland,Fall,Industrial,-8.537057709,20.26082301,53.58532374,665.6813355
Saskatchewan,Grassland,Summer,Commercial,32.70330748,20.93194846,56.07,4.969309705
Nova Scotia,Grassland,Spring,Industrial,11.14514855,19.84171952,51.82873221,265.7815699
Ontario,Forest,Winter,Commercial,-4.601454372,20.27319458,53.9829195,3.701679088
Saskatchewan,Forest,Fall,Agricultural,2.99617643,19.10321349,23.10587987,163.8115975
Ontario,Shrubland,Winter,Industrial,1.849901427,19.57303582,68.78786425,743.0496918
British Columbia,Forest,Fall,Industrial,21.98669795,19.99,98.75360679,394.28
British Columbia,Forest,Spring,Agricultural,12.94,20.11220483,89.10568502,437.1810503
Newfoundland and Labrador,Forest,Winter,Industrial,32.66311539,19.99,19.14451646,669.1626114
Newfoundland and Labrador,Wetland,Spring,Industrial,24.01982944,19.09109697,69.52608637,231.222972
Quebec,Forest,Fall,Commercial,-5.302465834,20.89403554,73.53455292,95.71303877
Quebec,Forest,Spring,Residential,34.86157251,20.93362824,91.86486513,348.1989479
Ontario,Wetland,Spring,Agricultural,28.64075928,19.01142933,96.87067336,105.9720243
Ontario,Grassland,Summer,Industrial,6.857836643,19.4536716,56.07,391.3420892
Newfoundland and Labrador,Forest,Fall,Agricultural,12.94,19.99,12.86527208,546.6988474
