Province,Temperature,Oxygen,Humidity,Vegetation_Type,Drought_Index,Fire_Seasonality,Land_Use,Target
Alberta,31.26582654,19.93905489,65.53046485,Wetland,515.947829,Winter,,
Quebec,14.72648872,,50.3639699,Shrubland,477.4960648,Fall,Agricultural,
,12.62713366,19.19782927,14.47506789,Grassland,741.5327936,Summer,Residential,
British Columbia,23.67848286,20.76843322,77.65814167,Wetland,17.29126314,Winter,Agricultural,
Newfoundland and Labrador,26.0092858,19.97782625,31.4011532,Wetland,353.4312625,Winter,Agricultural,
Alberta,28.82966453,19.94890653,10.59146821,Wetland,396.8019566,Fall,Commercial,
Newfoundland and Labrador,34.36562653,20.89486494,,Grassland,13.27898179,Winter,Agricultural,
Nova Scotia,19.03026189,20.96440647,71.73511808,Grassland,336.7757371,Winter,Industrial,
Prince Edward Island,,19.21288818,43.36998625,Shrubland,354.1329241,,Industrial,
Nova Scotia,17.2006989,19.14869438,50.08068221,Forest,545.5773911,Spring,Residential,
Ontario,-9.138233265,19.62317384,74.95468849,Forest,264.5963179,Summer,Commercial,
Saskatchewan,,20.7013038,13.90726945,Forest,232.8017338,,Commercial,
Manitoba,23.32516979,19.46832306,84.13296849,Shrubland,361.2185823,Summer,Commercial,
Nova Scotia,12.03660113,19.84606686,98.09527626,Grassland,,,Agricultural,
Quebec,8.012480998,19.83626284,,Forest,513.7063459,Spring,Commercial,
New Brunswick,10.86017756,,70.19606728,Shrubland,26.90822319,Fall,Commercial,
Ontario,28.34325555,,75.22277061,Grassland,105.2815031,Winter,Industrial,
Prince Edward Island,29.83370983,19.28995175,97.14302167,Forest,216.7364762,Winter,Commercial,
Newfoundland and Labrador,20.5851829,19.13440359,83.50026161,Shrubland,15.14165261,Winter,Commercial,
British Columbia,19.1237081,19.74186495,48.39155016,Forest,567.8394699,Spring,Industrial,
Ontario,-7.704572824,19.18595515,98.11528831,Shrubland,542.7901507,,Residential,
Ontario,27.9997882,20.28206665,48.73146989,Forest,430.8979764,,Agricultural,
British Columbia,18.93327952,19.28398838,70.26473285,Grassland,667.1810763,Spring,Commercial,
Quebec,22.06519635,19.89624888,60.44984688,Forest,9.997292905,Spring,Commercial,
Quebec,32.26205891,19.53854683,10.74208802,Grassland,187.6032043,Winter,Residential,
,16.42476977,19.90583078,62.6501717,Wetland,73.68568002,Fall,Commercial,
Alberta,29.717647,20.28875828,54.93595281,Shrubland,287.058847,Fall,Residential,
New Brunswick,29.45219205,20.42669344,94.67887383,Wetland,308.8002611,Spring,Agricultural,
Saskatchewan,17.26750037,19.50433636,34.73846971,Shrubland,577.7621759,Fall,Residential,
Prince Edward Island,34.9658065,20.23518418,65.02336511,,631.5404698,,Industrial,
,13.30650288,19.82064435,93.44416188,Grassland,209.4996748,Spring,Residential,
Prince Edward Island,4.555218821,20.42030663,26.69510805,,52.20293017,Summer,Industrial,
British Columbia,,20.77660908,77.39470796,Forest,482.542647,Fall,Residential,
New Brunswick,,19.03892844,26.3611312,Wetland,110.2382547,Summer,Agricultural,
Quebec,22.51249495,,32.87628901,Forest,383.1447563,Winter,Industrial,
Quebec,-0.776180466,,84.54138991,Grassland,449.5238019,Fall,Industrial,
Prince Edward Island,29.63739805,20.82479286,83.43634167,Forest,,Fall,Residential,
Alberta,33.36760854,19.4523741,,Grassland,149.6355893,Summer,,
British Columbia,,20.04895356,33.59060054,Forest,523.8276733,Spring,Agricultural,
Saskatchewan,-4.909668133,,19.89464936,Forest,389.2507775,Spring,Residential,
Alberta,-4.011847578,20.48268042,84.36730044,Shrubland,9.83283176,,Industrial,
Nova Scotia,14.05382177,20.76289202,95.34106952,Shrubland,314.3632988,Spring,,
New Brunswick,13.8329559,19.58686583,12.06561923,Grassland,447.3571593,Spring,Industrial,
Newfoundland and Labrador,7.620238605,19.85671579,79.04094284,Shrubland,155.9007626,Fall,Industrial,
Nova Scotia,19.48508892,20.77398334,62.11180067,Forest,743.0901943,Fall,,
